keys,es
"Boss — file this under 'good problems'. [b]{name}[/b] ({species}) is now performing like a headline battler: [b]{n}[/b] matches, [b]{kos} KOs[/b], average rating [b]{rating}[/b]. Other clubs will notice soon, if they haven't already.","Jefe: archiva esto en «problemas buenos». [b]{name}[/b] ({species}) ya rinde como un combatiente de cartel: [b]{n}[/b] partidos, [b]{kos} KO[/b], nota media [b]{rating}[/b]. Otros clubes lo notarán pronto, si no lo han hecho ya."
"Boss — the data crew and the old heads finally agree on something: [b]{name}[/b] is in the form of their career. [b]{kos} KOs[/b] across [b]{n}[/b] matches at a [b]{rating}[/b] average. Whatever you're doing with them, keep doing it.","Jefe: los de datos y los veteranos por fin coinciden en algo: [b]{name}[/b] está en la mejor forma de su carrera. [b]{kos} KO[/b] en [b]{n}[/b] partidos con una media de [b]{rating}[/b]. Sea lo que sea lo que estás haciendo con él, sigue haciéndolo."
{coach} is delighted with {name}'s development,{coach} está encantado con el desarrollo de {name}
"{name} in the form of their career, says {coach}","{name}, en la mejor forma de su carrera, según {coach}"
Progress report: {name} flying in training and matches,Informe de progreso: {name} vuela en entrenamientos y partidos
{coach} singles out {name} for praise,{coach} destaca a {name} con elogios
{name}'s development is turning heads,El desarrollo de {name} llama la atención
A glowing progress note from the coaching staff.,Una nota de progreso entusiasta del cuerpo técnico.
{coach} puts a standout run of form on the record.,{coach} deja constancia de una racha de forma sobresaliente.
Development report: the coaching staff are delighted.,Informe de desarrollo: el cuerpo técnico está encantado.
{coach} singles out a battler in top form.,{coach} destaca a un combatiente en plena forma.
Boss — pledge honoured. You promised [b]{name}[/b] a run of battles and delivered: [b]{apps}[/b] appearances since your word was given. The mood swung the moment the team sheets proved you meant it.,Jefe: compromiso cumplido. Prometiste a [b]{name}[/b] una racha de combates y la entregaste: [b]{apps}[/b] participaciones desde que diste tu palabra. El ánimo cambió en cuanto las alineaciones demostraron que ibas en serio.
"Boss — good news travels slowly in this game, so I'll speed it up: [b]{name}[/b] has had the battles you promised ({apps} since your pledge) and the sulk is gone. Trust like that spreads through a squad.","Jefe: las buenas noticias viajan lentas en este oficio, así que las acelero: [b]{name}[/b] ha tenido los combates que prometiste ({apps} desde tu compromiso) y el enfado ha desaparecido. Una confianza así se contagia a toda la plantilla."
"Boss — remember the promise you made {name}? Kept, and noticed. [b]{apps}[/b] matches later the appetite in training is back, and the younger battlers saw the manager keep their word.","Jefe: ¿recuerdas la promesa que le hiciste a {name}? Cumplida, y bien vista. [b]{apps}[/b] partidos después, el apetito en los entrenamientos ha vuelto, y los jóvenes vieron al entrenador cumplir su palabra."
"Boss — closing the loop on {name}: promised battles, delivered battles ([b]{apps}[/b] of them). Morale is up, edges have softened, and I owe you an apology for doubting the plan.","Jefe: cierro el asunto de {name}: combates prometidos, combates entregados ([b]{apps}[/b], nada menos). La moral ha subido, las aristas se han limado y te debo una disculpa por dudar del plan."
"Boss — {name} asked me to pass on a rare thing in this business: thanks. The promised run of battles ({apps} appearances) landed, and so has the message that this club keeps its word.","Jefe: {name} me pidió transmitir algo raro en este negocio: las gracias. La racha de combates prometida ({apps} participaciones) llegó, y con ella el mensaje de que este club cumple su palabra."
Boss — for the file: your pledge to [b]{name}[/b] is settled — [b]{apps}[/b] battles inside the window. The whole pens took note. Promises kept are the cheapest morale tool we have.,"Jefe, para el expediente: tu compromiso con [b]{name}[/b] queda saldado: [b]{apps}[/b] combates dentro del plazo. Todos los rediles tomaron nota. Las promesas cumplidas son la herramienta de moral más barata que tenemos."
Promise kept: {name} has had their battles,Promesa cumplida: {name} ya ha tenido sus combates
Pledge honoured: {name} back on side,Compromiso cumplido: {name} vuelve a estar de tu lado
{name}: promised battles delivered,"{name}: combates prometidos, combates entregados"
Coach's note: your promise to {name} is settled,Nota del entrenador: tu promesa a {name} queda saldada
"Boss — we have a problem of our own making. You promised [b]{name}[/b] a run of battles; the window has closed with only [b]{apps}[/b] of the [b]{target}[/b] delivered. They found out from the team sheets, which is the worst way. Morale has taken a real hit — and the squad saw it happen.","Jefe: tenemos un problema de fabricación propia. Prometiste a [b]{name}[/b] una racha de combates; el plazo se ha cerrado con solo [b]{apps}[/b] de los [b]{target}[/b] entregados. Se enteró por las alineaciones, que es la peor manera. La moral se ha llevado un golpe de verdad... y la plantilla lo vio pasar."
Boss — I warned you they'd hold you to it. The pledge to [b]{name}[/b] has lapsed — [b]{apps}[/b] appearances against the [b]{target}[/b] you promised — and the trust we bought that day has been handed back with interest.,Jefe: te avisé de que te tomarían la palabra. El compromiso con [b]{name}[/b] ha caducado —[b]{apps}[/b] participaciones frente a los [b]{target}[/b] prometidos— y la confianza que compramos aquel día nos la han devuelto con intereses.
"Boss — a hard mail to write. [b]{name}[/b] kept their side: trained hard, waited, said nothing. The promised battles never came ({apps} of {target} before the deadline). Around the pens they're calling it what it is — a broken promise.","Jefe: un correo difícil de escribir. [b]{name}[/b] cumplió su parte: entrenó duro, esperó y no dijo nada. Los combates prometidos nunca llegaron ({apps} de {target} antes del plazo). En los rediles lo llaman por su nombre: una promesa rota."
"Boss — the deadline on your pledge to [b]{name}[/b] passed quietly last night. [b]{apps}[/b] battles delivered of the [b]{target}[/b] promised. There was no scene, which worries me more than a scene would.","Jefe: el plazo de tu compromiso con [b]{name}[/b] venció anoche sin ruido. [b]{apps}[/b] combates entregados de los [b]{target}[/b] prometidos. No hubo escena, y eso me preocupa más que una escena."
"Boss — you asked me to tell you these things straight: {name} feels lied to. The promised run of battles didn't materialise ({apps}/{target} inside the window), and the word 'promise' now gets air-quotes in the canteen.","Jefe: me pediste que estas cosas te las dijera sin rodeos: {name} se siente engañado. La racha de combates prometida no se materializó ({apps}/{target} dentro del plazo), y la palabra «promesa» ya se dice con comillas en la cantina."
"Boss — a promise made in this office died on the training ground this week. [b]{name}[/b] got {apps} of the {target} battles you pledged. Next time the manager gives their word, the squad will remember this.","Jefe: una promesa hecha en este despacho murió esta semana en el campo de entrenamiento. [b]{name}[/b] tuvo {apps} de los {target} combates que juraste. La próxima vez que el entrenador dé su palabra, la plantilla se acordará de esto."
Promise broken: {name} never got those battles,Promesa rota: {name} nunca tuvo esos combates
Pledge lapsed: {name} feels let down,Compromiso caducado: {name} se siente defraudado
{name}: the promised battles never came,{name}: los combates prometidos nunca llegaron
Coach's warning: broken promise to {name},Aviso del entrenador: promesa rota a {name}
{name} was simply a level above everything else on the circuit this month.,{name} estuvo sencillamente un nivel por encima de todo lo demás en el circuito este mes.
"Ask any coach in the league who they'd steal first right now: {name}, every time.","Pregunta a cualquier entrenador de la liga a quién robaría primero ahora mismo: {name}, siempre."
Months like {name}'s are why the ratings column exists.,Meses como el de {name} son la razón de que exista la columna de notas.
"There was the field, and then there was {name}.","Estaba el resto del campo, y luego estaba {name}."
"If {name} keeps this up, the end-of-season awards are a formality.","Si {name} sigue así, los premios de fin de temporada son un trámite."
"{club} supporters, enjoy {name} while you can — form like this gets noticed.","Aficionados del {club}, disfrutad de {name} mientras podáis: una forma así no pasa desapercibida."
The numbers flatter nobody: {name} earned every decimal of that rating.,Los números no regalan nada: {name} se ganó cada decimal de esa nota.
Somewhere a scout is underlining {name}'s name three times.,"En algún lugar, un ojeador está subrayando tres veces el nombre de {name}."
"{paper}'s monthly column: awards, the table and the stories of {month}.","La columna mensual de {paper}: premios, la tabla y las historias de {month}."
"Awards, storylines and the state of the race — {month} reviewed in {paper}.","Premios, tramas y el estado de la carrera: {month}, repasado en {paper}."
"{paper} closes the books on {month}: winners, shocks and the table.","{paper} cierra los libros de {month}: ganadores, sorpresas y la tabla."
"The {month} review in {paper}: who rose, who fell, who ruled.","El repaso a {month} en {paper}: quién subió, quién cayó, quién mandó."
League Review — %s: Pokémon of the Month is %s,Repaso de la liga — %s: el Pokémon del Mes es %s
"
[color=#%s][b]YOUR RESPONSE[/b][/color]
[color=#%s]%s[/color]
","
[color=#%s][b]TU RESPUESTA[/b][/color]
[color=#%s]%s[/color]
"
we host,jugamos en casa
we travel,viajamos
unranked,sin clasificar
"[color=#%s]Speaking to %s ahead of the tie, [b]%s[/b] (%s, %s, reputation %d/20) went on the record:[/color]

","[color=#%s]En declaraciones a %s antes del duelo, [b]%s[/b] (%s, %s, reputación %d/20) dijo para el acta:[/color]

"
THE FACTS,LOS HECHOS
"THE FACTS — at publication, %s","LOS HECHOS — al cierre, %s"
"[color=#%s]%s form:[/color]  %s
","[color=#%s]Racha del %s:[/color]  %s
"
"[color=#%s]Squad morale:[/color] [color=#%s][b]%d/100[/b][/color]
","[color=#%s]Moral de la plantilla:[/color] [color=#%s][b]%d/100[/b][/color]
"
"
[color=#%s]The match has since been played — we %s %d-%d. The talking is over.[/color]
","
[color=#%s]El partido ya se ha jugado: %s %d-%d. Se acabó la palabrería.[/color]
"
won,ganamos
lost,perdimos
"
[color=#%s][b]The press pack wants your response before kick-off. How you answer will reach the dressing room.[/b][/color]
","
[color=#%s][b]La prensa quiere tu respuesta antes del inicio. Lo que contestes llegará al vestuario.[/b][/color]
"
Go to Fixture,Ir al partido
[color=#%s]no matches yet[/color],[color=#%s]aún sin partidos[/color]
Fire Back in the Press,Contraatacar en la prensa
Praise Your Squad Instead,Elogiar a tu plantilla
No Comment,Sin comentarios
"[color=#%s][i]An opinion piece in %s.[/i][/color]

","[color=#%s][i]Una columna de opinión en %s.[/i][/color]

"
"[color=#%s][b]%s OF THE MATCH[/b][/color]
","[color=#%s][b]%s DEL PARTIDO[/b][/color]
"
STAR,ESTRELLA
ONE BRIGHT SPOT,ÚNICA NOTA POSITIVA
"[color=#%s][b]%s[/b][/color] [color=#%s](%s) — %d KO%s, %d damage across %d battle%s. Match rating [/color][color=#%s][b]%.1f[/b][/color]

","[color=#%s][b]%s[/b][/color] [color=#%s](%s) — %d KO%s, %d de daño en %d combate(s)%s. Nota del partido: [/color][color=#%s][b]%.1f[/b][/color]

"
"[color=#%s]%s sat [b]%s[/b] in the %s as this went to print.[/color]
","[color=#%s]Al cierre de esta edición, el %s era [b]%s[/b] en la %s.[/color]
"
